time,max_sustained_wind,geometry,dist
2017-08-30 00:00:00,30.0,POINT (-26.89999961853027 16.10000038146973),192670.80125189628
2017-08-30 03:00:00,32.0,POINT (-27.59250259399414 16.14784240722656),258246.25236137232
2017-08-30 06:00:00,35.0,POINT (-28.29999923706055 16.20000076293945),327501.5673949878
2017-08-30 09:00:00,40.0,POINT (-29.02243995666504 16.25747489929199),400404.07159515785
2017-08-30 12:00:00,45.0,POINT (-29.70000076293945 16.29999923706055),470293.023702064
2017-08-30 15:00:00,47.0,POINT (-30.28756141662598 16.30727195739746),533955.3993229427
2017-08-30 18:00:00,50.0,POINT (-30.79999923706055 16.29999923706055),588150.4477204884
2017-08-30 21:00:00,52.0,POINT (-31.27254295349121 16.2923469543457),638203.0539220689
2017-08-31 00:00:00,55.0,POINT (-31.70000076293945 16.29999923706055),683292.7275174963
2017-08-31 03:00:00,60.0,POINT (-32.1000862121582 16.32733535766602),725252.1597348793
2017-08-31 06:00:00,65.0,POINT (-32.5 16.39999961853027),766684.0265312892
2017-08-31 09:00:00,72.0,POINT (-32.94998931884766 16.52749824523926),813030.0429225534
2017-08-31 12:00:00,80.0,POINT (-33.40000152587891 16.70000076293945),859380.0701723445
2017-08-31 15:00:00,87.0,POINT (-33.80008316040039 16.89233207702637),900807.2881057848
2017-08-31 18:00:00,95.0,POINT (-34.20000076293945 17.10000038146973),942688.8064822796
2017-08-31 21:00:00,97.0,POINT (-34.63510131835938 17.29989433288574),988812.9924609045
2017-09-01 00:00:00,100.0,POINT (-35.09999847412109 17.5),1038498.2060629652
2017-09-01 03:00:00,100.0,POINT (-35.57771682739258 17.69230651855469),1089843.1527266789
2017-09-01 06:00:00,100.0,POINT (-36.09999847412109 17.89999961853027),1156510.6945155037
2017-09-01 09:00:00,100.0,POINT (-36.68496704101562 18.14994621276855),1220090.8822892527
2017-09-01 12:00:00,100.0,POINT (-37.29999923706055 18.39999961853027),1287098.5602375295
2017-09-01 15:00:00,100.0,POINT (-37.9001350402832 18.61480712890625),1352356.8937976551
2017-09-01 18:00:00,100.0,POINT (-38.5 18.79999923706055),1417328.125862803
2017-09-01 21:00:00,100.0,POINT (-39.0849609375 18.97965049743652),1480689.2641786386
2017-09-02 00:00:00,100.0,POINT (-39.70000076293945 19.10000038146973),1546472.1366093985
2017-09-02 03:00:00,100.0,POINT (-40.37756729125977 19.13730621337891),1617782.496628176
2017-09-02 06:00:00,100.0,POINT (-41.09999847412109 19.10000038146973),1693032.9946525986
2017-09-02 09:00:00,97.0,POINT (-41.84262084960938 19.01478576660156),1770145.7029985136
2017-09-02 12:00:00,95.0,POINT (-42.59999847412109 18.89999961853027),1868850.6643683368
2017-09-02 15:00:00,95.0,POINT (-43.35741806030273 18.7997875213623),1811955.468937218
2017-09-02 18:00:00,95.0,POINT (-44.09999847412109 18.70000076293945),1758077.542878427
2017-09-02 21:00:00,95.0,POINT (-44.82233810424805 18.60731315612793),1691491.0861104308
2017-09-03 00:00:00,95.0,POINT (-45.5 18.5),1620112.0946422028
2017-09-03 03:00:00,95.0,POINT (-46.11493682861328 18.35716247558594),1553681.8178629242
2017-09-03 06:00:00,95.0,POINT (-46.70000076293945 18.20000076293945),1489648.11527856
2017-09-03 09:00:00,97.0,POINT (-47.29238128662109 18.04974365234375),1425134.669761292
2017-09-03 12:00:00,100.0,POINT (-47.90000152587891 17.89999961853027),1359122.4069454402
2017-09-03 15:00:00,100.0,POINT (-48.54993057250977 17.74992942810059),1275529.1221542382
2017-09-03 18:00:00,100.0,POINT (-49.20000076293945 17.60000038146973),1205420.0982423571
2017-09-03 21:00:00,100.0,POINT (-49.81489562988281 17.44981575012207),1138844.4297934852
2017-09-04 00:00:00,100.0,POINT (-50.40000152587891 17.29999923706055),1075275.0714021965
2017-09-04 03:00:00,102.0,POINT (-50.95745468139648 17.14228820800781),1014099.1998333202
2017-09-04 06:00:00,105.0,POINT (-51.5 17),955151.2801151499
2017-09-04 09:00:00,107.0,POINT (-52.03493118286133 16.88472557067871),898365.9995808289
2017-09-04 12:00:00,110.0,POINT (-52.59999847412109 16.79999923706055),840532.0047231137
2017-09-04 15:00:00,112.0,POINT (-53.24241638183594 16.74250030517578),777532.2218137932
2017-09-04 18:00:00,115.0,POINT (-53.90000152587891 16.70000076293945),715192.5805480452
2017-09-04 21:00:00,120.0,POINT (-54.50003051757812 16.64219665527344),655171.1267623389
2017-09-05 00:00:00,125.0,POINT (-55.09999847412109 16.60000038146973),601155.3940608397
2017-09-05 03:00:00,130.0,POINT (-55.73501968383789 16.58479499816895),548656.5705878368
2017-09-05 06:00:00,135.0,POINT (-56.40000152587891 16.60000038146973),490950.8108080755
2017-09-05 09:00:00,142.0,POINT (-57.0925407409668 16.63484191894531),417417.5276759328
2017-09-05 12:00:00,150.0,POINT (-57.79999923706055 16.70000076293945),342875.48082575755
2017-09-05 15:00:00,152.0,POINT (-58.50016021728516 16.77726554870605),270102.2548322469
2017-09-05 18:00:00,155.0,POINT (-59.20000076293945 16.89999961853027),200692.59212887756
2017-09-05 21:00:00,155.0,POINT (-59.91129302978516 17.0836238861084),141149.47165593226
2017-09-06 00:00:00,155.0,POINT (-60.59999847412109 17.29999923706055),113428.58811076506
2017-09-06 03:00:00,155.0,POINT (-61.06056213378906 17.56990242004395),70853.78072460766
2017-09-06 05:45:00,155.0,POINT (-61.79999923706055 17.70000076293945),220.46267796671788
2017-09-06 06:00:00,155.0,POINT (-61.90000152587891 17.70000076293945),2810.5401858157393
2017-09-06 09:00:00,155.0,POINT (-62.65995025634766 17.93245697021484),14074.830221794817
2017-09-06 11:15:00,155.0,POINT (-63.09999847412109 18.10000038146973),2006.9913561787796
2017-09-06 12:00:00,155.0,POINT (-63.29999923706055 18.10000038146973),15947.033419115269
2017-09-06 15:00:00,155.0,POINT (-64.06292724609375 18.34537696838379),33217.77710876183
2017-09-06 16:30:00,155.0,POINT (-64.40000152587891 18.5),643.2805747258625
2017-09-06 18:00:00,150.0,POINT (-64.69999694824219 18.60000038146973),16525.23761685937
2017-09-06 21:00:00,150.0,POINT (-65.41856384277344 18.88135719299316),58571.520725132475
2017-09-07 00:00:00,150.0,POINT (-66.19999694824219 19.20000076293945),79817.37001325174
2017-09-07 03:00:00,147.0,POINT (-66.9078369140625 19.45713996887207),104676.50911597583
2017-09-07 06:00:00,145.0,POINT (-67.59999847412109 19.70000076293945),140022.9051992439
2017-09-07 09:00:00,145.0,POINT (-68.30021667480469 19.94972610473633),115177.80020122435
2017-09-07 12:00:00,145.0,POINT (-69 20.20000076293945),95698.83304779754
2017-09-07 15:00:00,145.0,POINT (-69.70011901855469 20.45722007751465),89956.4837503582
2017-09-07 18:00:00,145.0,POINT (-70.40000152587891 20.70000076293945),98918.04954300416
2017-09-07 21:00:00,142.0,POINT (-71.09707641601562 20.90042495727539),47014.26218239902
2017-09-08 00:00:00,140.0,POINT (-71.80000305175781 21.10000038146973),23677.549055315467
